symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MGCQ6,-1,0,0.1,545483583193,545483583171,1,4203.3,4202.1,$(12.00),06/19/2026 03:03:47,06/19/2026 03:03:02,45sec
MGCQ6,-1,0,0.1,545483583205,545483583171,3,4203.3,4202.1,$(36.00),06/19/2026 03:03:50,06/19/2026 03:03:02,48sec
MGCQ6,-1,0,0.1,545483583213,545483583171,4,4203.4,4202.1,$(52.00),06/19/2026 03:03:50,06/19/2026 03:03:02,48sec
MGCQ6,-1,0,0.1,545483583250,545483583228,1,4203.8,4201.9,$(19.00),06/19/2026 03:06:32,06/19/2026 03:05:51,40sec
MGCQ6,-1,0,0.1,545483583280,545483583228,4,4201.5,4201.9,$16.00,06/19/2026 03:09:39,06/19/2026 03:05:51,3min 48sec
MGCQ6,-1,0,0.1,545483583349,545483583295,4,4151.0,4193.7,"$1,708.00",06/19/2026 06:26:57,06/19/2026 03:47:10,2h 39min 46sec
MGCQ6,-1,0,0.1,545483583383,545483583361,3,4152.3,4149.0,$(99.00),06/19/2026 06:44:12,06/19/2026 06:37:49,6min 23sec
MGCQ6,-1,0,0.1,545483583428,545483583398,1,4155.3,4156.4,$11.00,06/19/2026 07:04:28,06/19/2026 06:56:18,8min 10sec
MGCQ6,-1,0,0.1,545483583473,545483583443,1,4187.2,4187.9,$7.00,06/19/2026 09:48:22,06/19/2026 09:39:28,8min 54sec
MGCQ6,-1,0,0.1,545483583485,545483583443,3,4187.3,4187.9,$18.00,06/19/2026 09:48:23,06/19/2026 09:39:28,8min 55sec
